Rank,Name,Age,Weight,Log,Deadlift,Sandbag,Yoke,Points
60th,Ashley Butler,26,105kg,132.1kg,346.7kg,7 reps,393.8kg,865
61st,Richard Turrell,43,121kg,126.9kg,324.6kg,7 reps,428.9kg,862.5
62nd,Anthony Martin,31,90kg,129.7kg,320.3kg,8 reps,384.4kg,858.5
62nd,Jason Teitelbaum,38,82kg,130.2kg,321.1kg,8 reps,377.4kg,858.5
64th,Francesco Velardo,25,140kg,153.1kg,320.0kg,4 reps,500.0kg,857.5
65th,Doug Madewell,42,125kg,148.0kg,322.8kg,5 reps,454.9kg,855.5
66th,Lance Lavallee,46,131kg,140.7kg,323.6kg,6 reps,425.0kg,850.5
67th,Konnor Pennington,24,104kg,136.8kg,310.5kg,6 reps,459.8kg,845
67th,Travis Hayes,34,105kg,134.0kg,311.8kg,7 reps,417.8kg,845
69th,Josue Elias,35,158kg,147.3kg,328.9kg,3 reps,519.4kg,841.5
70th,Jonas Bertschinger,24,80kg,121.4kg,312.5kg,9 reps,374.6kg,841
71st,Phil Hawxwell,28,118kg,153.0kg,321.0kg,4 reps,457.0kg,835
72nd,Victor Borneling,27,90kg,120.0kg,321.8kg,7 reps,425.2kg,834
73rd,john tibbs,25,90kg,135.2kg,306.6kg,7 reps,414.1kg,831
74th,Joshua Pinkerton,38,97kg,127.6kg,329.1kg,7 reps,390.1kg,830
75th,Maximilian Fleck,29,160kg,153.7kg,315.0kg,4 reps,460.0kg,828
76th,Harley Hughes,31,113kg,137.4kg,319.7kg,6 reps,424.4kg,827
77th,Calvin Vaughn,36,141kg,151.6kg,366.1kg,4 reps,411.6kg,826
78th,Mark Pearson,38,105kg,117.8kg,300.4kg,7 reps,480.0kg,823.5
79th,Jonathan Winberly,40,150kg,136.1kg,341.1kg,4 reps,479.4kg,823
80th,Jason Stordahl,48,152kg,143.4kg,301.0kg,6 reps,437.4kg,821.5
81st,Jayden Smith,24,90kg,123.6kg,311.7kg,7 reps,425.0kg,818
82nd,Connor Cowens,30,80kg,122.9kg,288.1kg,10 reps,381.7kg,816
83rd,Luke Parsons,43,105kg,131.0kg,293.4kg,7 reps,431.6kg,811.5
84th,shawn pope,25,90kg,146.2kg,310.5kg,6 reps,407.9kg,809.5
85th,David Beyer,43,132kg,146.2kg,329.3kg,5 reps,408.2kg,806
86th,Andrew Perkins,37,107kg,136.1kg,297.1kg,8 reps,363.3kg,804
87th,Andrew Nyberg,32,159kg,150.0kg,301.6kg,5 reps,439.5kg,803.5
88th,Patrick Harris,23,79kg,110.7kg,300.7kg,9 reps,390.2kg,802.5
