Name,Sex,Event,Equipment,Age,AgeClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Wilks,McCulloch,Glossbrenner,IPFPoints,Tested,Country,Federation,Date,MeetCountry,MeetState,MeetName
Lesley Proctor,F,B,Raw,,,Masters 3,73.0,84,,,,,,60.0,-62.5,-62.5,,60.0,,,,,,60.0,1,58.03,58.03,51.1,475.64,Yes,,NZPF,2017-06-10,New Zealand,CAN,South Island Championships
Sandra Mobley,F,SBD,Single-ply,35.5,35-39,,56.0,56,132.5,142.5,-147.5,,142.5,70.0,77.5,-80.0,,77.5,137.5,-150.0,152.5,,152.5,372.5,3,438.29,438.29,387.68,541.18,,USA,USPF,1995-07-21,USA,,Senior Nationals
Peter Kravtsov,M,SBD,Single-ply,63.0,60-64,M5,72.0,75,220.0,235.0,-245.0,,235.0,105.0,110.0,112.5,115.0,112.5,-200.0,200.0,207.5,212.5,207.5,555.0,1,407.21,578.64,394.28,516.41,Yes,,WPC-UKR,2009-06-19,Ukraine,,Amateur Ukrainian Championships
Veronica Opdal,F,SBD,Single-ply,24.5,24-34,Open,67.42,67.5,-170.0,170.0,177.5,,177.5,85.0,90.0,-92.5,,90.0,175.0,180.0,-182.5,,180.0,447.5,8,457.12,457.12,403.25,582.16,Yes,Norway,IPF,2010-11-07,South Africa,,World Powerlifting Chmapionships
Niklas Johansen,M,SBD,Raw,25.5,24-34,Open,87.9,93,190.0,-205.0,205.0,,205.0,125.0,-132.5,-132.5,,125.0,200.0,210.0,222.5,,222.5,552.5,10,357.08,357.08,344.28,521.58,Yes,,DSF,2017-04-14,Denmark,,DM Klassisk
Yevgen Konstantinov,M,SBD,Single-ply,22.5,20-23,Student,90.0,90,260.0,-265.0,-265.0,,260.0,155.0,165.0,-170.0,,165.0,250.0,260.0,-265.0,,260.0,685.0,4,437.3,437.3,421.41,545.36,Yes,,UkrainePF,2000-12-16,Ukraine,,Ukrainian University Powerlifting Championship
Jackie Kendziorski,F,BD,Raw,30.5,24-34,O,51.5,52,,,,,,47.5,-52.5,-52.5,,47.5,107.5,112.5,117.5,,117.5,165.0,3,207.23,207.23,183.76,,Yes,,USAPL,2013-03-02,USA,OH,Next Lifter Ohio Classic
Israel Enriquez,M,SBD,Single-ply,,,Boys,73.39,74.8,,,,,190.51,,,,,99.79,,,,,181.44,471.74,3,341.34,341.34,330.35,443.02,Yes,,THSPA,2018-02-17,USA,TX,Troup Tiger Invitational
David Ayotte,M,D,Raw,,,Open,110.0,110,,,,,,,,,,,,,,230.0,220.0,220.0,1,129.47,129.47,124.02,446.25,Yes,,WABDL,2018-08-11,USA,,Western Regional
Cole Mastin,M,B,Raw,,,Open,,140+,,,,,,,,,,204.12,,,,,,204.12,1,,,,,,,SPF,2012-10-27,USA,VA,Brute's Halloween Howl
Nathalie Abellan,F,B,Single-ply,29.5,24-34,,55.7,56,,,,,,80.0,85.0,87.5,,87.5,,,,,,87.5,6,103.39,103.39,91.46,555.51,Yes,France,IPF,1993-12-12,Hungary,,World Bench Press Championships
Kara Phillips,F,SBD,Raw,20.5,20-23,FR-Jr,76.2,84,115.0,125.0,-135.0,,125.0,65.0,-72.5,-72.5,,65.0,122.5,135.0,-140.0,,135.0,325.0,2,305.94,312.06,268.95,517.1,Yes,,USAPL,2018-07-28,USA,WA,Northwest Regionals
Andrew Mangum,M,SBD,Single-ply,,,Boys,63.68,67.1,,,,,136.08,,,,,65.77,,,,,183.7,385.55,5,311.96,311.96,303.2,409.45,Yes,,THSPA,2013-01-19,USA,TX,Santo Invitational
Tre Morris,M,SBD,Raw,44.0,40-44,Masters 40-44,197.0,140+,,,,,250.0,,,,,,,,,,,,DQ,,,,,,,IPL,2017-05-13,USA,TX,Masters Cup
