Name,Sex,Event,Equipment,Age,AgeClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Wilks,McCulloch,Glossbrenner,IPFPoints,Tested,Country,Federation,Date,MeetCountry,MeetState,MeetName
Juanita Diaz,F,SBD,Single-ply,,,Girls,45.45,47.8,,,,,102.06,,,,,47.63,,,,,102.06,251.74,3,346.71,346.71,309.95,434.75,Yes,,THSWPA,2015-02-13,USA,TX,Longhorn Invitational
April Grey,F,SBD,Raw,38.5,35-39,FR-O,82.1,84,145.0,155.0,-165.0,,155.0,87.5,92.5,-95.0,,92.5,155.0,165.0,-175.0,,165.0,412.5,18,372.18,372.18,325.89,636.04,Yes,USA,USAPL,2016-10-13,USA,GA,Raw Nationals
Olav Sverre Kompelien,M,B,Single-ply,,,Masters 40-49,119.2,120,,,,,,270.0,295.0,,,295.0,,,,,,295.0,1,169.87,169.87,162.16,671.02,Yes,,NSF,2016-04-02,Norway,,Åpent stevne
S. Goodner,M,SBD,Single-ply,,,Open,100.0,100,,,,,287.5,,,,,160.0,,,,,265.0,712.5,3,433.62,433.62,416.74,533.83,,,USPF,1988-03-05,USA,AR,Greater Arkansas Championship
Laquanda Moffett,F,SBD,Single-ply,20.5,20-23,F-O,79.0,84,142.5,150.0,160.0,,160.0,65.0,72.5,75.0,,75.0,177.5,187.5,-195.0,,187.5,422.5,1,389.34,397.13,341.68,523.85,Yes,,USAPL,2015-07-25,USA,MS,Mississippi State Champioship
Mason Guinn,M,SBD,Single-ply,,,Boys,109.54,109.7,,,,,199.58,,,,,102.06,,,,,204.12,505.76,7,298.02,298.02,285.53,377.28,Yes,,THSPA,2017-04-21,USA,TX,Shepherd High School Invitational
Fox,M,B,Multi-ply,,,Police,100.0,100,,,,,,,,,,145.15,,,,,,145.15,1,88.34,88.34,84.9,439.58,Yes,,WNPF,1996-09-14,USA,NJ,International Cup
Jabreion Curry,F,SBD,Single-ply,,,Girls,53.07,56,,,,,77.11,,,,,38.56,,,,,99.79,215.46,6,264.39,264.39,234.19,363.48,Yes,,THSWPA,2015-02-21,USA,TX,Wildkat Invitational
Jean-Marie Cavelier,M,SBD,Multi-ply,63.5,60-64,M5,122.82,125,200.0,220.0,-242.5,,220.0,200.0,-207.5,-207.5,,200.0,220.0,-230.0,235.0,,235.0,655.0,1,374.62,532.34,357.13,447.56,,France,GPC,2003-05-02,France,,European Championships
Elisa Vinante,F,SBD,Single-ply,38.5,35-39,Open,56.37,57,-160.0,-160.0,160.0,,160.0,80.0,85.0,90.0,,90.0,140.0,155.0,167.5,,167.5,417.5,2,488.7,488.7,432.22,592.39,Yes,Italy,EPF,2014-09-11,Italy,,Western European Powerlifting Championships
Ken Ufford,M,SBD,Single-ply,34.0,24-34,,130.04,125+,282.5,297.5,-305.0,,297.5,220.0,227.5,-232.5,,227.5,320.0,337.5,-350.0,,337.5,862.5,4,487.8,487.8,463.74,558.02,Yes,USA,USAPL,1999-07-16,USA,MO,Men's National Powerlifting Championships
Juan Carranza,M,SBD,Single-ply,,,Boys,110.5,124.7,,,,,183.7,,,,,115.67,,,,,165.56,464.93,3,273.23,273.23,261.69,349.65,Yes,,THSPA,2019-01-24,USA,TX,HM KING BOYS BRAHMA INVITATIONAL
Reg Byrne,M,B,Raw,47.0,45-49,M-M2,94.5,100,,,,,,125.0,-127.5,,,125.0,,,,,,125.0,1,77.94,84.33,75.02,465.78,Yes,Ireland,IDFPF,2018-04-07,Ireland,,National Single Lifts
Luke MacLennan,M,SBD,Single-ply,,,Boys,115.39,124.7,,,,,233.6,,,,,145.15,,,,,215.46,594.21,8,344.96,344.96,329.79,423.08,Yes,,THSPA,2016-01-30,USA,TX,Milby Powerlifting Tournament
Tiffany Chen,F,SBD,Raw,22.5,20-23,FR-Jr,57.0,57,92.5,102.5,-110.0,,102.5,42.5,47.5,-52.5,,47.5,137.5,145.0,-152.5,,145.0,295.0,1,342.32,342.32,302.69,532.35,Yes,,USAPL,2018-01-20,USA,WA,Tacoma Rookie Competition
Michael Rowinski,M,SBD,Raw,,,Crossfit,122.92,125,,,,,131.54,,,,,99.79,,,,,165.56,396.89,3,226.96,226.96,216.36,279.64,,,RPS,2014-10-18,USA,NY,Annihilation
Aaron Gregory,M,SBD,Single-ply,,,Boys,59.87,59.8,,,,,106.59,,,,,49.9,,,,,122.47,278.96,7,238.39,238.39,232.3,328.31,Yes,,THSPA,2011-02-12,USA,TX,Fort Stockton Power Meet
Fragar Armour,M,SBD,Single-ply,,,Boys,119.2,124.7,,,,,149.69,,,,,124.74,,,,,,,DQ,,,,,Yes,,THSPA,2016-02-18,USA,TX,Paris High Powerlifting Meet
Sergey Lir,M,B,Raw,23.0,20-23,M_OR,109.0,110,,,,,,230.0,240.0,247.5,,247.5,,,,,,247.5,1,146.07,146.07,139.97,844.09,,Russia,WPC,2014-11-10,USA,FL,World Championships
Jan Lewi Evensen,M,SBD,Raw,,,Open,90.7,93,190.0,200.0,205.0,,205.0,125.0,132.5,135.0,,135.0,240.0,250.0,255.0,,255.0,595.0,2,378.36,378.36,364.56,556.5,Yes,,NSF,2018-06-16,Norway,,Åpent stevne
Alisha White,F,SBD,Single-ply,,,Girls,75.98,82.3,,,,,86.18,,,,,29.48,,,,,92.99,208.65,11,196.76,196.76,172.99,316.95,Yes,,THSWPA,2019-01-26,USA,TX,Bullard Invitational
Hunter Skelton,M,SBD,Single-ply,,,Boys,56.02,59.8,,,,,156.49,,,,,92.99,,,,,192.78,442.25,1,402.46,402.46,393.54,504.42,Yes,,THSPA,2011-02-19,USA,TX,Bullard Panther Invitational
Gareth Walsh,M,D,Raw,45.0,45-49,M-M2,58.7,60,,,,,,,,,,,150.0,160.0,-167.5,,160.0,160.0,1,139.25,146.91,135.82,445.73,Yes,Ireland,IDFPF,2018-04-07,Ireland,,National Single Lifts
Christian Lozano,M,SBD,Raw,,,Juniors,72.3,74,,,,,155.0,,,,,105.0,,,,,195.0,455.0,3,332.82,332.82,322.22,478.77,Yes,,CPU,2017-04-22,Canada,MB,Westman Strength Classic
B. Michael,M,SBD,Single-ply,,,,82.5,82.5,,,,,240.0,,,,,145.0,,,,,240.0,625.0,2,418.69,418.69,404.21,528.02,Yes,,USAPL,2002-04-12,USA,TX,Collegiate National Powerlifting Championships
Peter Gray,M,SBD,Raw,,,Masters 1,82.6,83,160.0,-170.0,170.0,,170.0,125.0,135.0,140.0,,140.0,180.0,190.0,200.0,,200.0,510.0,3,341.4,341.4,329.59,496.0,Yes,Australia,PA,2011-05-21,Australia,NSW,Raw Singleton Strength Triathlon
Rick Lawrence,M,B,Multi-ply,51.0,50-54,M_MEM_3_WPC,113.6,125,,,,,,-205.0,205.0,,,205.0,,,,,,205.0,1,119.51,137.08,114.34,523.06,,USA,WPC,2016-11-07,USA,LA,Worlds
Jukka Pirnes,M,SBD,Single-ply,,,Open,56.0,56,,,,,145.0,,,,,92.5,,,,,170.0,407.5,2,370.97,370.97,362.75,470.52,Yes,,SVNL,1982-04-04,Finland,,Nuorten 20 v. voimanoston SM-kisat
Richard Spriggs,M,SBD,Single-ply,,,Open,110.0,110,175.0,190.0,200.0,,200.0,110.0,115.0,117.5,,117.5,210.0,225.0,240.0,,240.0,557.5,1,328.08,328.08,314.28,409.56,Yes,,PA,2006-02-18,Australia,VIC,Early Bird PL & BP Competition
Travis Johnson,M,SBD,Single-ply,,,Boys,77.38,82.1,,,,,122.47,,,,,,,,,,,,DQ,,,,,Yes,,THSPA,2018-01-20,USA,TX,Magnolia Invitational
John Cuciurean,M,SBD,Multi-ply,,,Open,75.0,75,,,,,220.0,,,,,175.0,,,,,217.5,612.5,2,436.44,436.44,422.18,549.16,,USA,APF,1998-05-23,USA,IL,Amateur Nationals
Savannah Ramirez,F,SBD,Single-ply,,,Girls,45.18,47.8,,,,,52.16,,,,,31.75,,,,,79.38,163.29,2,225.83,225.83,202.0,317.39,Yes,,THSWPA,2019-01-12,USA,TX,Titan Invitational
Konstantin Kudryavtsev,M,SBD,Single-ply,17.5,18-19,Open,67.2,67.5,,,,,240.0,,,,,122.5,,,,,227.5,590.0,11,456.53,483.92,442.89,570.04,Yes,,FPR,2003-11-19,Russia,,Russian Students Powerlifting Championship
Stanislav Milostnoy,M,B,Raw,37.5,35-39,Open,81.5,,,,,,,240.0,245.0,247.5,,247.5,,,,,,247.5,1,167.03,167.03,161.29,1020.41,,Russia,WRPF,2016-06-03,Russia,,Night Strength
Mac Cuevas,M,SBD,Raw,,,Open,64.5,66,,,,,145.0,,,,,87.5,,,,,182.5,415.0,1,332.16,332.16,322.68,470.97,Yes,,CPU,2015-02-21,Canada,MB,MPA Provincial Championship
Mason Vinson,M,SBD,Single-ply,,,Boys,58.74,59.8,,,,,142.88,,,,,72.57,,,,,149.69,365.14,4,317.58,317.58,309.75,414.14,Yes,,THSPA,2019-02-16,USA,TX,L.D. Bell Invitational
Philip Gardiner,M,D,Raw,21.5,20-23,M-C-U23,72.2,74,,,,,,,,,,,195.0,210.0,220.0,,220.0,220.0,1,161.09,162.7,155.96,563.28,Yes,,NIPF,2016-02-06,N.Ireland,,Big Lift Combo
James Redman,M,SBD,Raw,,,M-C-G,79.3,83,150.0,165.0,170.0,,170.0,80.0,85.0,90.0,,90.0,180.0,190.0,-200.0,,190.0,450.0,G,308.93,308.93,298.48,440.63,Yes,,EPA,2017-01-29,England,,Manchester & Merseyside Championships
Evgeniya Sakali,F,SBD,Wraps,14.0,13-15,O,53.34,56,95.0,105.0,-110.0,,105.0,65.0,67.5,70.0,,70.0,-120.0,120.0,130.0,,130.0,305.0,3,372.79,458.53,330.16,570.1,Yes,Ukraine,GPA,2018-11-22,Ukraine,,World Championships
Deonte McKinney,M,SBD,Single-ply,,,Boys,103.42,109.7,,,,,233.6,,,,,99.79,,,,,224.53,557.92,2,335.2,335.2,321.82,422.64,Yes,,THSPA,2011-01-29,USA,TX,Marshall Powerlifting meet
Michael Rosky,M,B,Raw,25.0,24-34,Open,74.93,75,,,,,,,,,,150.0,,,,,,150.0,1,106.95,106.95,103.46,657.68,,,USPA,2012-07-14,USA,NY,New York State Benchpress and Deadlift
Benjamin Rose,M,SBD,Wraps,29.0,24-34,Open,117.2,125,,,,,185.0,,,,,152.5,,,,,207.5,545.0,3,315.12,315.12,301.06,427.46,,,USPA,2018-06-02,USA,TX,Gulf Coast Open
Larry Ash,M,SBD,Single-ply,,,Boys,73.48,74.8,,,,,151.95,,,,,102.06,,,,,151.95,405.97,5,293.49,293.49,284.03,389.64,Yes,,THSPA,2011-01-29,USA,TX,Rider Raider Invitational
Denton Lesak,M,SBD,Single-ply,,,Boys,124.74,124.7,,,,,206.38,,,,,102.06,,,,,192.78,501.22,6,285.74,285.74,272.2,352.08,Yes,,THSPA,2011-01-29,USA,TX,Edna Invitational
Evgeniy Dolgikh,M,SBD,Single-ply,27.5,24-34,Open,89.9,90,,,,,280.0,,,,,180.0,,,,,,,DQ,,,,,Yes,,FPR,2007-08-08,Russia,MOW,Russian Powerlifting Cup
Tony Garcia,M,SBD,Single-ply,,,Boys,167.19,124.7+,,,,,192.78,,,,,104.33,,,,,190.51,487.61,1,265.54,265.54,249.11,303.67,Yes,,THSPA,2015-02-12,USA,TX,Abernathy Invitational
Vasileios Sarafoglou,M,B,Raw,,,Teen,67.2,67.5,,,,,,-100.0,-100.0,-100.0,,,,,,,,,DQ,,,,,,Greece,ESDT,2018-12-01,Greece,,Greek Qualifier
James Campbell,M,SBD,Raw,,,Open,98.8,105,,,,,220.0,,,,,140.0,,,,,250.0,610.0,2,373.06,373.06,358.67,541.96,Yes,,CPU,2017-08-13,Canada,ON,Eastbound Summer Classic 3
Brandon Tapia,M,SBD,Single-ply,13.5,13-15,Boys,98.34,99.7,,,,,142.88,,,,,86.18,,,,,154.22,383.29,22,234.87,288.88,225.83,315.33,Yes,,THSPA,2014-02-01,USA,TX,Mission Veterans Memorial High School Power Meet
Bente Opsjøn,F,SBD,Raw,,,Open,72.1,84,77.5,82.5,-87.5,,82.5,45.0,47.5,-50.0,,47.5,110.0,115.0,-117.5,,115.0,245.0,1,238.91,238.91,210.43,397.58,Yes,,NSF,2012-12-15,Norway,,Åpent stevne
Charles Borkowski,M,B,Raw,,40-44,Amateur Masters 40-44,135.71,140,,,,,,,,,,195.04,,,,,,195.04,1,109.51,109.51,103.9,589.04,Yes,,RPS,2019-01-26,USA,NJ,NJ State & North American Championships
Yuriy Pigalev,M,B,Raw,34.0,24-34,Amateur Open,89.9,90,,,,,,-142.5,145.0,-155.0,,145.0,,,,,,145.0,10,92.62,92.62,89.26,558.3,,Russia,NAP,2014-10-17,Russia,,World Championships & Golden Tiger Classic
Caitlin Casas,F,SBD,Single-ply,,,Girls,66.22,67.3,,,,,92.99,,,,,56.7,,,,,108.86,258.55,8,267.56,267.56,236.1,383.49,Yes,,THSWPA,2017-02-11,USA,TX,Hornet Invitational
Lucas Tanton,M,SBD,Single-ply,,,Boys,127.82,124.7+,,,,,226.8,,,,,149.69,,,,,213.19,589.67,2,334.55,334.55,318.32,400.65,Yes,,THSPA,2019-02-07,USA,TX,Dayton League Meet
Randy Hart,M,SBD,Raw,,60-64,Amateur Masters 60-64,86.45,90,,,,,117.93,,,,,74.84,,,,,147.42,340.19,1,221.85,297.28,213.98,292.24,Yes,,RPS,2019-04-06,USA,PA,PowerPalooza 21
Jørgen Rasmussen,M,B,Single-ply,30.5,24-34,Open,101.4,110,,,,,,,,,,160.0,,,,,,160.0,2,96.84,96.84,93.04,465.9,Yes,,DSF,2004-08-21,Denmark,,JM Bænkpres
Vanessa McNeil,F,SBD,Single-ply,,,Girls,86.91,90,,,,,136.08,,,,,74.84,,,,,124.74,335.66,1,294.48,294.48,256.77,425.3,Yes,,THSWPA,2016-01-16,USA,TX,Rice Bulldog Invitational
Candice O'Donnell,F,SBD,Raw,28.0,24-34,F_OR_AAPF,67.4,67.5,110.0,115.0,-122.5,,115.0,65.0,70.0,-75.0,,70.0,135.0,140.0,147.5,,147.5,332.5,1,339.72,339.72,299.69,557.39,Yes,,CPF,2018-03-03,Canada,ON,Spring Sacrifice
S. Hussain,M,SBD,Single-ply,,,Open,80.1,82.5,170.0,177.5,-182.5,,177.5,125.0,130.0,135.0,,135.0,190.0,200.0,205.0,,205.0,517.5,3,353.02,353.02,341.01,455.16,Yes,,BAWLA,2003-02-01,UK,,British Junior & Under 23 Powerlifting Championships
Yessenia Caceres,F,B,Single-ply,32.5,24-34,Open,82.6,90,,,,,,45.0,50.0,-52.5,,50.0,,,,,,50.0,1,44.97,44.97,39.36,378.12,Yes,Peru,FESUPO,2007-11-03,Peru,,Campeonato Sudamericano de Bench Press
Kari Seppä,M,B,Raw,62.5,60-64,Over 60,110.5,120,,,,,,-120.0,125.0,127.5,,127.5,,,,,,127.5,3,74.93,104.38,71.76,431.69,Yes,,SVNL,2012-08-18,Finland,,Penkkipunnerruksen SM-kisat
Boris Ryazanov,M,B,Raw,59.0,55-59,M4,87.2,90,,,,,,147.5,-158.5,,,147.5,,,,,,147.5,1,95.74,125.9,92.32,579.73,,Russia,WPC,2013-08-15,Russia,,World Cup
Florian Helle,M,SBD,Raw,,,Open,102.5,105,172.5,177.5,182.5,,182.5,105.0,-115.0,115.0,,115.0,190.0,205.0,210.0,,210.0,507.5,24,305.92,305.92,293.79,426.41,,,Germany-UA,2017-09-01,Germany,HH,Insanity Meet
Brock Pryor,M,SBD,Single-ply,,,Boys,117.57,124.7,,,,,240.4,,,,,142.88,,,,,197.31,580.6,3,335.44,335.44,320.43,410.91,Yes,,THSPA,2011-02-26,USA,TX,West Brook Last Qualifier
Georgina Williams,F,SBD,Raw,,,F-C-Open,55.7,57,-85.0,-87.5,87.5,,87.5,-50.0,50.0,52.5,,52.5,132.5,137.5,-140.0,,137.5,277.5,11,327.89,327.89,290.06,504.73,Yes,,BP,2017-07-29,UK,,British Women's Classic Championships
Makayla Warmoth,F,SBD,Single-ply,,,Girls,48.08,51.9,,,,,68.04,,,,,31.75,,,,,81.65,181.44,6,240.01,240.01,213.6,333.71,Yes,,THSWPA,2019-02-09,USA,TX,Iron Warrior Classic
Julie Lassetter,F,SBD,Single-ply,,,Girls,83.28,90,,,,,136.08,,,,,68.04,,,,,120.2,324.32,3,290.47,290.47,254.09,420.16,Yes,,THSWPA,2017-02-18,USA,TX,SMHS Rattler Invitational
Bjørn Nielsen,M,SBD,Single-ply,59.5,55-59,Masters 3,94.34,105,140.0,155.0,,,155.0,-125.0,125.0,-135.0,,125.0,160.0,175.0,,,175.0,455.0,1,283.92,373.36,273.31,371.94,Yes,Denmark,DSF,2019-03-02,Denmark,,DM Styrkeløft
Pamela Farley,F,SBD,Raw,34.5,24-34,Open,80.65,84,75.0,-80.0,80.0,,80.0,45.0,47.5,-50.0,,47.5,97.5,100.0,-105.0,,100.0,227.5,5,207.24,207.24,181.66,355.01,Yes,,PA,2017-12-09,Australia,QLD,Deep North Challenge
Jan Bertelsen,M,B,Single-ply,54.5,50-54,Masters 2,99.9,100,,,,,,,,,,170.0,,,,,,170.0,1,103.5,124.62,99.48,489.56,Yes,Denmark,DSF,2010-12-04,Denmark,,DM Bænkpres
Stormy Bairfield,F,SBD,Single-ply,,,Girls,66.22,67.3,,,,,106.59,,,,,40.82,,,,,124.74,272.16,3,281.65,281.65,248.53,398.1,Yes,,THSWPA,2017-02-06,USA,TX,Hardin Girls
A. Lentz,M,SBD,Single-ply,,,Open,90.0,90,,,,,295.0,,,,,165.0,,,,,285.0,745.0,1,475.6,475.6,458.33,588.11,,,USPF,1987-03-28,USA,PA,Pennsylvania State
Hailey Ray,F,B,Raw,,,Class 2A,45.36,45.8,,,,,,,,,,49.9,,,,,,49.9,10,68.82,68.82,61.54,484.55,Yes,,FHSAA,2019-02-08,USA,FL,Florida State Finals
Ole Henrik Sandbo,M,B,Raw,14.5,13-15,Teen 14-18,69.5,75,,,,,,62.5,-70.0,-70.0,,62.5,,,,,,62.5,3,47.1,55.57,45.64,289.53,Yes,Norway,NSF,2010-12-04,Norway,,Benkpress-cup
Hunter Schneck,M,SBD,Single-ply,,,Boys,80.92,82.1,,,,,181.44,,,,,122.47,,,,,190.51,494.42,2,335.14,335.14,323.67,434.93,Yes,,THSPA,2017-02-18,USA,TX,Alvarado Invitational
Bonnie Aerts,F,D,Single-ply,48.0,45-49,Open,51.62,52,,,,,,,,,,,,,,,92.5,92.5,1,115.97,127.22,102.82,361.92,,,USPF,2007-08-12,USA,NV,National Benchpress and Deadlift Championship
Rob Landolina,M,SBD,Raw,43.0,40-44,O,110.0,110,,,,,251.74,,,,,154.22,,,,,294.84,700.8,1,412.42,425.2,395.06,595.37,Yes,USA,WNPF,2016-11-11,USA,NJ,World Powerlifting Championships
Willis Garland,M,B,Raw,,,m3,100.7,110,,,,,,,,,,110.0,,,,,,110.0,1,66.76,66.76,64.15,393.83,Yes,,NASA,2018-11-10,USA,OH,Ohio Regional
Michaela Drabálková,F,SBD,Single-ply,25.5,24-34,Open,68.6,72,,,,,172.5,,,,,100.0,,,,,150.0,422.5,1,426.28,426.28,375.93,551.85,Yes,Czechia,CSST,2015-02-28,Czechia,,Mistrovství ČR v Silovém Trojboji Mužů a Žen
Hanna Richison,F,SBD,Single-ply,,,Girls,46.99,47.8,,,,,102.06,,,,,40.82,,,,,111.13,254.01,7,341.67,341.67,304.58,431.41,Yes,,THSWPA,2016-03-03,USA,TX,Girls Region 3 Division 3
Chris Hughes #5,M,SBD,Single-ply,,,Boys,131.45,124.7+,,,,,185.97,,,,,108.86,,,,,181.44,476.27,2,268.85,268.85,255.46,329.26,Yes,,THSPA,2013-02-16,USA,TX,Highland Park Scot Classic 9
Trey Lewis,M,SBD,Single-ply,,,Boys,87.45,89.8,,,,,190.51,,,,,102.06,,,,,192.78,485.34,4,314.54,314.54,303.3,409.53,Yes,,THSPA,2016-02-20,USA,TX,Alvarado Invitational
Seth Olive,M,B,Raw,23.5,24-34,MR-O,91.5,93,,,,,,115.0,125.0,-127.5,,125.0,,,,,,125.0,5,79.14,79.14,76.24,475.66,Yes,,USAPL,2016-11-12,USA,MN,Solcana Open Bench Press Championship
Chris Fudge,M,SBD,Raw,28.5,24-34,Open,81.7,83,,,,,205.0,,,,,127.5,,,,,215.0,547.5,3,368.94,368.94,356.24,542.86,Yes,Canada,CPU,2013-07-21,Canada,ON,Ottawa Open
Kaylin Lansford,F,SBD,Single-ply,,,Girls,55.52,56,,,,,95.25,,,,,43.09,,,,,102.06,240.4,1,284.77,284.77,251.94,387.06,Yes,,THSWPA,2014-02-22,USA,TX,ETPC
Dmytro Golovynskyy,M,D,Raw,28.5,24-34,O,135.3,140,,,,,,,,,,,-280.0,-280.0,,,,,DQ,,,,,,Ukraine,WPC-UKR,2017-10-21,Ukraine,,Ukrainian Cup
Justin McCalips,M,SBD,Wraps,,,Pro Open,89.18,90,,,,,276.69,,,,,183.7,,,,,276.69,737.09,1,472.77,472.77,455.69,717.39,,,IPA,2017-03-04,USA,PA,Pennsylvania State Powerlifting Championships
Alyssa Maiello,F,SBD,Raw,18.0,18-19,Teen 18-19,74.8,75,110.0,122.5,130.0,,130.0,60.0,-67.5,-67.5,,60.0,132.5,150.0,162.5,,162.5,352.5,1,335.66,355.8,295.3,565.27,Yes,,NORCAL,2016-11-06,USA,CA,West Coast Championship
Erica Garcia,F,SBD,Single-ply,,,Girls,51.62,51.9,,,,,106.59,,,,,49.9,,,,,136.08,292.57,13,366.8,366.8,325.23,462.35,Yes,,THSWPA,2016-03-08,USA,TX,Girls State Meet
Katey Choukalos,F,SBD,Raw,25.0,24-34,Open,67.3,67.5,,,,,137.5,,,,,77.5,,,,,165.0,380.0,1,388.66,388.66,342.87,638.97,,,USPA,2016-06-18,USA,OR,Oregon State Powerlifting Championships
Marie Ebbeke,F,SBD,Single-ply,50.5,50-54,Masters 2,99.75,84+,,,,,167.5,,,,,75.0,,,,,160.0,402.5,1,335.36,378.96,288.19,467.33,Yes,Sweden,SSF,2018-12-07,Sweden,,U/J/V SM utrustning SL
Abraão José,M,B,Single-ply,41.5,40-44,Masters 1,73.9,74,,,,,,-130.0,130.0,-180.0,,130.0,,,,,,130.0,1,93.6,94.54,90.57,487.68,Yes,Brazil,FESUPO,2011-11-25,Brazil,,Campeonato Sudamericano de Bench Press
Sergiy Boryuk,M,SBD,Multi-ply,22.0,20-23,J,59.9,60,145.0,-155.0,160.0,,160.0,110.0,117.5,122.5,,122.5,155.0,165.0,170.0,,170.0,452.5,1,386.51,390.38,376.64,489.61,,Ukraine,WPC-UKR,2007-09-22,Ukraine,,Ukrainian Powerlifting & Bench Press Cup
Marie Thornton,F,SBD,Single-ply,,,F-E-Open,96.4,90+,,,,,210.0,,,,,107.5,,,,,190.0,507.5,1,427.41,427.41,368.81,566.55,Yes,UK,BAWLA,2005-11-26,UK,,Yorkshire North East Senior Championships
N. Zhankuatov,M,SBD,Single-ply,19.5,20-23,Juniors,82.0,83,,,,,185.0,,,,,110.0,,,,,195.0,490.0,2,329.46,339.34,318.1,428.27,Yes,,KPF,2016-03-02,Kazakhstan,,Kazakhstan Powerlifting Cup
Ronda Janowicz,F,SBD,Wraps,,,Open,92.53,90+,,,,,127.01,,,,,77.11,,,,,136.08,340.19,1,290.72,290.72,252.0,502.34,,,SPF,2012-06-16,USA,,Nationals
Marcos David Garza,M,B,Raw,16.5,16-17,Teen 16-17,110.0,110,,,,,,,,,,145.0,,,,,,145.0,1,85.33,92.16,81.74,492.15,Yes,,WABDL,2017-06-10,USA,TX,Magic Valley
Lance Williams,M,SBD,Single-ply,,,Boys,108.41,109.7,,,,,195.04,,,,,124.74,,,,,188.24,508.02,4,300.33,300.33,287.86,380.66,Yes,,THSPA,2012-01-21,USA,TX,McKinney North Invitational
Olga Zhurko,F,B,Single-ply,32.5,24-34,Open,54.75,56,,,,,,-85.0,85.0,90.0,,90.0,,,,,,90.0,1,107.78,107.78,95.39,569.57,Yes,,UkrainePF,2008-04-16,Ukraine,,Ukrainian Bench Press Championships
Colton Henderson,M,SBD,Single-ply,,,Boys,89.99,99.7,,,,,195.04,,,,,136.08,,,,,204.12,535.24,6,341.71,341.71,329.3,438.68,Yes,,THSPA,2012-02-25,USA,TX,SUNNYVALE INVITATIONAL
Brandi Guajardo,F,SBD,Single-ply,,,Girls,38.92,44.2,,,,,,,,,,,,,,,,,DQ,,,,,Yes,,THSWPA,2015-02-14,USA,TX,Weslaco Powerlifting
Dakota Schnieders,M,SBD,Wraps,,,hs,123.6,125,,,,,67.5,,,,,70.0,,,,,117.5,255.0,5,145.65,145.65,138.81,148.8,Yes,,NASA,2017-01-14,USA,MO,Missouri State Championships
Michael Pullifrone,M,SBD,Raw,28.5,24-34,MR-O,86.5,93,182.5,197.5,205.0,,205.0,107.5,112.5,120.0,,120.0,205.0,215.0,225.0,,225.0,550.0,7,358.56,358.56,345.83,524.54,Yes,,USAPL,2017-12-16,USA,PA,Philadelphia Love Championship
Liam Nattheim,M,SBD,Raw,32.5,24-34,Open,102.2,105,205.0,-215.0,-215.0,,205.0,150.0,160.0,,,160.0,245.0,265.0,,,265.0,630.0,1,380.18,380.18,365.14,550.77,Yes,,PA,2019-04-07,Australia,VIC,JPS Open V
Ariana Hoelscher,F,SBD,Single-ply,,,Girls,55.97,56,,,,,61.23,,,,,34.02,,,,,79.38,174.63,1,205.56,205.56,181.83,308.53,Yes,,THSWPA,2014-01-11,USA,TX,7th Moody Invitational
Tony Cooper,M,SBD,Raw,28.0,24-34,MR-O,137.3,120+,265.0,282.5,300.0,,300.0,185.0,207.5,-210.0,,207.5,247.5,265.0,277.5,,277.5,785.0,1,439.97,439.97,417.19,598.92,Yes,,USAPL,2015-05-30,USA,MN,Twin Ports Raw Open
Samuel Yuen,M,SBD,Raw,18.5,18-19,MR-T3,82.6,83,165.0,175.0,182.5,,182.5,105.0,110.0,115.0,,115.0,230.0,242.5,255.0,,255.0,552.5,1,369.86,384.65,357.05,544.4,Yes,,USAPL,2019-03-23,USA,NY,Squats & Science Championship
Blayz Ingle,M,SBD,Single-ply,,,Boys,69.13,74.8,,,,,158.76,,,,,83.91,,,,,161.03,403.7,8,305.46,305.46,296.08,403.02,Yes,,THSPA,2018-01-20,USA,TX,Hico Invitational
Travis Sullivan,M,SBD,Single-ply,,,Boys,73.75,74.8,,,,,149.69,,,,,81.65,,,,,142.88,374.21,9,269.82,269.82,261.1,363.21,Yes,,THSPA,2012-02-11,USA,TX,Dalhart Invitational
Cyndi Regan,F,SBD,Single-ply,44.5,40-44,Open,,90+,,,,,192.5,,,,,135.0,,,,,170.0,497.5,2,,,,,Yes,USA,ADFPA,1994-05-07,USA,IL,Women's Nationals & Teenage Girls Nationals
Brian McWhorter,M,SBD,Single-ply,,,Boys,117.44,124.7,,,,,158.76,,,,,83.91,,,,,185.97,428.64,2,247.72,247.72,236.64,317.21,Yes,,THSPA,2017-01-10,USA,TX,Brewer High School Invitational
Jackson Cunningham,M,SBD,Single-ply,,,Div 3,114.94,124.7,,,,,265.35,,,,,170.1,,,,,,,DQ,,,,,Yes,,THSPA,2010-03-27,USA,TX,State Meet
Deysi Garcia,F,SBD,Single-ply,,,Girls,55.61,56,,,,,79.38,,,,,36.29,,,,,99.79,215.46,4,254.9,254.9,225.51,357.38,Yes,,THSWPA,2018-02-03,USA,TX,Dalhart Invitational
